2026-06-28 22:35:29 | AUDIT | action=UPLOAD | entity=MEDIA | entityId=abc0cba6-64bc-41c2-8170-5ceafe87401b | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:35:36 | AUDIT | action=UPLOAD | entity=MEDIA | entityId=16f55fd9-4c7a-4ee1-a197-768db41880b4 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:35:40 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:35:40 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:43:15 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:45:07 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:45:07 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:45:39 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:45:39 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:49:21 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:49:21 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:49:21 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:49:21 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:52:05 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:52:05 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:55:04 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:55:04 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:55:14 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:55:14 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:55:34 | AUDIT | action=UPDATE | entity=DEPARTMENT | entityId=55555555-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:55:34 | AUDIT | action=UPDATE_CONTACT | entity=DEPARTMENT | entityId=88888888-0001-4000-8000-000000000001 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:58:52 | AUDIT | action=UPLOAD | entity=MEDIA | entityId=f8a765c5-8771-459e-8a8f-8b55458da021 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
2026-06-28 22:58:52 | AUDIT | action=CREATE | entity=TEAM_MEMBER | entityId=453da909-8f11-4d88-ab9f-a4c051b82d72 | userId=d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f80 | ip=0:0:0:0:0:0:0:1
